ESG_Rating_Score,P/E Ratio,Revenue,EBITDA,Net Income,EPS,Market Cap,Debt to Equity,Current Ratio,Quick Ratio,1Y Return,Avg Volatility (30D),EBITDA Margin
8.571,24.47,6533000192,1802000000.0,1259000064,4.37,30486065152,58.74,2.2,1.5,-28.0677694593076,1.73159215227269,0.2758303914037295
5.714,30.92,400366010368,138865999872.0,97294000128,6.42,2965204369408,146.99,0.82,0.68,8.82122885403197,1.77376242294716,0.34684762511273143
7.143,79.23,57366999040,27366000640.0,4155000064,2.34,326553698304,4789.6,0.76,0.48,19.0084421806048,1.61452462033296,0.4770338539221591
4.286,32.24,11232000000,2532000000.0,2537999872,3.94,78410735616,28.73,1.27,0.7,-13.1766029548989,2.47140662065946,0.22542735042735043
4.286,17.3,42344001536,11020999680.0,13450999808,7.7,231816298496,27.09,1.78,1.09,29.7604162549124,1.300946001043,0.2602729850798388
7.143,9.7,18172000256,4457999872.0,3726000128,9.75,35509223424,12.66,0.58,0.29,-0.627930618887205,1.6088852755045,0.24532246363622326
8.571,25.4,67221491712,11472501760.0,7683452928,12.13,192753401856,26.71,1.48,1.33,2.29980380128669,1.66017298394195,0.17066717009423332
10.0,25.33,22037000192,8664999936.0,6751000064,15.13,163353935872,50.12,1.18,1.03,-20.5291438784602,2.25385371123354,0.3932023351865114
10.0,66.09,9337626624,4111152128.0,1563862016,3.14,102919979008,21.72,1.93,1.32,1.81680219155765,2.43584981828083,0.4402780592483026
8.571,17.09,83857997824,2609999872.0,1366000000,2.84,23316236288,55.5,1.38,0.36,-20.0264528146033,1.64762731471173,0.03112404230635021
10.0,31.5,20202600448,5949100032.0,3998299904,9.77,124910624768,74.58,1.01,0.14,27.3336577909738,1.12448225854582,0.29447199370756966
10.0,56.04,6130999808,1456999936.0,1112000000,5.13,61504909312,97.63,0.68,0.56,32.0108395767169,1.76522275834336,0.2376447531606251
7.143,21.6,7596000256,3268000000.0,1210000000,4.51,26325176320,158.92,0.86,0.44,35.0291319682498,1.18575405324295,0.43022642046630283
8.571,20.21,20159000576,7971500032.0,2764199936,5.18,55919534080,171.5,0.42,0.22,17.2683647332145,1.19208441900134,0.3954313112868478
8.571,6.04,12119000064,3119000064.0,1306000000,1.84,7916583936,361.56,0.84,0.38,-39.0406269062281,2.69706316432863,0.25736447293742665
7.143,16.58,16888999936,4632249856.0,3592999936,6.43,57851453440,42.51,1.38,1.24,26.2599047288567,1.3532895298034,0.27427614859101623
